session_date,shot_no,time,club,context,hole,carry_m,total_m,offline_m,club_speed_kmh,ball_speed_kmh,smash,spin_axis_deg,back_spin_rpm,side_spin_rpm,launch_angle_deg,launch_dir_deg,face_angle_deg,swing_path_deg,face_to_path_deg,aoa_deg,dyn_loft_deg,impact_w_mm,impact_h_mm,lie_deg,closure_rate_dps,source
2026-08-22,23,11:05:27,LW,range,,67,67.5,0.9,114.8,114.4,1,-5.3,9733,-900,,,,,,,,,,,,xlsx_export
2026-08-22,24,11:05:47,LW,range,,67.4,67.9,0.2,113.5,114.5,1.01,-4,9725,-673,,,,,,,,,,,,xlsx_export
2026-08-22,25,11:06:03,LW,range,,78.8,83.5,-12.8,115.6,121.6,1.05,-16.9,7688,-2340,,,,,,,,,,,,xlsx_export
2026-08-22,26,11:06:20,LW,range,,72.7,74.7,-7.2,113.7,118.7,1.04,-13.2,8978,-2103,,,,,,,,,,,,xlsx_export
2026-08-22,27,11:06:44,LW,range,,56.3,58,3.1,104.2,99,0.95,-2.7,8280,-385,,,,,,,,,,,,xlsx_export
2026-08-22,29,11:07:56,SW,range,,67.9,70.5,5.5,118.8,111.4,0.94,4.5,8664,687,,,,,,,,,,,,xlsx_export
2026-08-22,31,11:08:37,SW,range,,104.3,117.1,-12.1,118.6,145.2,1.22,-18.3,5656,-1867,,,,,,,,,,,,xlsx_export
2026-08-22,32,11:08:50,SW,range,,73.8,74.3,3.5,117.9,122.9,1.04,-1.9,9871,-320,,,,,,,,,,,,xlsx_export
2026-08-22,33,11:09:05,SW,range,,74.9,76.3,3.5,115.5,121.9,1.05,-4.1,9186,-652,,,,,,,,,,,,xlsx_export
2026-08-22,34,11:09:21,SW,range,,57,61.4,3.7,87,97.1,1.12,0.8,6296,85,,,,,,,,,,,,xlsx_export
2026-08-22,35,11:10:09,GW,range,,63,65.3,5.3,113,106,0.94,1.1,8101,155,,,,,,,,,,,,xlsx_export
2026-08-22,36,11:10:22,GW,range,,89.2,92.5,-5.4,117.8,134.9,1.14,-6.7,8257,-962,,,,,,,,,,,,xlsx_export
2026-08-22,38,11:11:01,GW,range,,86.2,88.4,-3.3,119.3,133.9,1.12,-4.9,8731,-752,,,,,,,,,,,,xlsx_export
2026-08-22,39,11:11:19,GW,range,,84,86.2,0,120,131.6,1.1,-2.6,8687,-394,,,,,,,,,,,,xlsx_export
2026-08-22,40,11:11:33,GW,range,,92.8,104,17.6,122.7,131.4,1.07,11.2,5614,1114,,,,,,,,,,,,xlsx_export
2026-08-22,41,11:12:18,PW,range,,115.8,122.5,-12,124.4,157.4,1.27,-11,7115,-1380,,,,,,,,,,,,xlsx_export
2026-08-22,42,11:12:33,PW,range,,108.7,114.6,-3,124.6,150.9,1.21,-5.4,7537,-718,,,,,,,,,,,,xlsx_export
2026-08-22,43,11:12:48,PW,range,,113.4,119.9,4.9,123,154.8,1.26,-3.9,7006,-476,,,,,,,,,,,,xlsx_export
2026-08-22,44,11:13:03,PW,range,,84.4,100.7,-15.4,97.9,124.6,1.27,-33.3,3175,-2082,,,,,,,,,,,,xlsx_export
2026-08-22,45,11:13:21,PW,range,,105.7,113.3,-3,118.3,144.4,1.22,-9.4,6308,-1042,,,,,,,,,,,,xlsx_export
